x,y,z,color,radius

-0.7495325803756714,-0.022847121581435204,-0.01319270208477974,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.7492710947990417,-0.0266168974339962,-0.019478287547826767,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.7485343813896179,-0.030958455055952072,-0.03511248528957367,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.7458711266517639,-0.03703195974230766,-0.06928221136331558,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.7409982085227966,-0.04161988943815231,-0.10809575021266937,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.7315554618835449,-0.04330797120928764,-0.1595187485218048,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.7097402811050415,-0.038394611328840256,-0.23935270309448242,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.6865103840827942,-0.032426562160253525,-0.30024510622024536,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.6526590585708618,-0.02644738182425499,-0.36855384707450867,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.6295060515403748,-0.024713043123483658,-0.4069480895996094,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.6078122854232788,-0.023786183446645737,-0.4387408196926117,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.5900897979736328,-0.022872334346175194,-0.4623483419418335,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.5796185731887817,-0.018221093341708183,-0.4756104648113251,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.5819046497344971,-0.01496974192559719,-0.4729248583316803,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.5920411348342896,-0.014843901619315147,-0.46017593145370483,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.6140080094337463,-0.022564617916941643,-0.4300932288169861,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.634020984172821,-0.03481366112828255,-0.39912480115890503,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.653633713722229,-0.05336587131023407,-0.3638829290866852,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
-0.674580454826355,-0.08872275054454803,-0.3155396580696106,|[0.5260483384196307, 1, 0.8811074879283305, 1]|,0.029999999329447746
