x,y,z,color,radius

-0.20440426468849182,0.3112194538116455,-0.6573351621627808,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.2044779360294342,0.3113362193107605,-0.6577494144439697,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.20484793186187744,0.3111274838447571,-0.6581152081489563,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.20583409070968628,0.3103697597980499,-0.6585283279418945,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.20665986835956573,0.30819636583328247,-0.6596976518630981,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.20637431740760803,0.30390048027038574,-0.6632715463638306,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.2055460512638092,0.29954633116722107,-0.6659136414527893,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.20515097677707672,0.294703871011734,-0.6686772108078003,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.20585572719573975,0.2888827323913574,-0.6716565489768982,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.20786532759666443,0.2807520031929016,-0.6753665208816528,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.2107466161251068,0.2700732350349426,-0.6799131035804749,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.21310433745384216,0.26095855236053467,-0.6846142411231995,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.21504904329776764,0.24865496158599854,-0.6898128390312195,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.21681997179985046,0.23476189374923706,-0.6954668760299683,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.21819162368774414,0.21900354325771332,-0.7016547322273254,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.21949148178100586,0.20147350430488586,-0.7081388235092163,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.22057005763053894,0.18353532254695892,-0.7144541144371033,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.22180098295211792,0.16856326162815094,-0.7177491188049316,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.2250244915485382,0.15379557013511658,-0.7217932343482971,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.22873567044734955,0.1396983116865158,-0.7252355217933655,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.23144912719726562,0.12502938508987427,-0.7288073897361755,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.23222260177135468,0.10977031290531158,-0.7327646017074585,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.23193992674350739,0.09447313845157623,-0.7367456555366516,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.2314155548810959,0.08219192177057266,-0.7392629981040955,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.2329433709383011,0.06770637631416321,-0.7420743107795715,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.23520132899284363,0.05344622582197189,-0.7444071173667908,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.23726634681224823,0.03963156417012215,-0.7464706301689148,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.23920780420303345,0.02660389058291912,-0.7482032179832458,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24109672009944916,0.014523211866617203,-0.7496131062507629,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24100348353385925,0.004774961620569229,-0.7504289746284485,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.2417188435792923,-0.0057622697204351425,-0.7516704797744751,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24246709048748016,-0.015907861292362213,-0.7527554631233215,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24272584915161133,-0.02558411844074726,-0.7538135051727295,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24255003035068512,-0.03453711420297623,-0.7548123598098755,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24247878789901733,-0.04246903210878372,-0.7556227445602417,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.2428709864616394,-0.0494474433362484,-0.7561661005020142,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24303936958312988,-0.0571184977889061,-0.758085310459137,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.2436467707157135,-0.06477528810501099,-0.758379340171814,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24365219473838806,-0.07220366597175598,-0.7587249279022217,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24326933920383453,-0.07903774082660675,-0.7590647339820862,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24329586327075958,-0.08454716205596924,-0.7591917514801025,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24333664774894714,-0.09052877873182297,-0.7592668533325195,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24410288035869598,-0.09518519788980484,-0.7590247392654419,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.2444700300693512,-0.09966874122619629,-0.7588468790054321,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24440622329711914,-0.1036459356546402,-0.7587750554084778,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.2438405454158783,-0.10738605260848999,-0.7588285803794861,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24291710555553436,-0.11109243333339691,-0.7589607834815979,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24168378114700317,-0.11395213752985,-0.7572386264801025,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24150466918945312,-0.11573288589715958,-0.7570335268974304,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.24181219935417175,-0.11699798703193665,-0.7565824389457703,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.38024696707725525,0.2665407657623291,-0.5545462965965271,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.37791192531585693,0.2679300308227539,-0.5551314353942871,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.37447428703308105,0.2694252133369446,-0.5562804937362671,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.3719036877155304,0.2710457444190979,-0.5591483116149902,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.3632674217224121,0.27213987708091736,-0.5633337497711182,|[0, 0.6, 0, 1]|,0.07394286245107651
-0.3525103032588959,0.2736046314239502,-0.5683290958404541,|[0, 0.6, 0, 1]|,0.07394286245107651
