x,y,z,color,radius

0.2613365352153778,-0.1798025220632553,-0.6660774350166321,|[0, 0.6, 0, 1]|,0.029999999329447746
0.26999932527542114,-0.18108037114143372,-0.6554996967315674,|[0, 0.6, 0, 1]|,0.029999999329447746
0.2726805508136749,-0.18292364478111267,-0.6558969020843506,|[0, 0.6, 0, 1]|,0.029999999329447746
0.2781021296977997,-0.1847091168165207,-0.6557556390762329,|[0, 0.6, 0, 1]|,0.029999999329447746
0.2876577377319336,-0.18975067138671875,-0.6537007093429565,|[0, 0.6, 0, 1]|,0.029999999329447746
0.2980274558067322,-0.19826115667819977,-0.6507587432861328,|[0, 0.6, 0, 1]|,0.029999999329447746
0.30927935242652893,-0.21039342880249023,-0.6466724872589111,|[0, 0.6, 0, 1]|,0.029999999329447746
0.31720855832099915,-0.2238294780254364,-0.6386266350746155,|[0, 0.6, 0, 1]|,0.029999999329447746
0.32583028078079224,-0.24093621969223022,-0.6336653232574463,|[0, 0.6, 0, 1]|,0.029999999329447746
0.33512404561042786,-0.25916463136672974,-0.6277232766151428,|[0, 0.6, 0, 1]|,0.029999999329447746
0.3455233871936798,-0.2782283425331116,-0.6205828785896301,|[0, 0.6, 0, 1]|,0.029999999329447746
0.35767805576324463,-0.2977938950061798,-0.6119176149368286,|[0, 0.6, 0, 1]|,0.029999999329447746
0.37090861797332764,-0.31745147705078125,-0.6018685102462769,|[0, 0.6, 0, 1]|,0.029999999329447746
0.3840874433517456,-0.33300378918647766,-0.5873809456825256,|[0, 0.6, 0, 1]|,0.029999999329447746
0.3968064486980438,-0.3473341464996338,-0.5778157114982605,|[0, 0.6, 0, 1]|,0.029999999329447746
0.4108084440231323,-0.35749393701553345,-0.568862795829773,|[0, 0.6, 0, 1]|,0.029999999329447746
0.4274759590625763,-0.36499589681625366,-0.5590524077415466,|[0, 0.6, 0, 1]|,0.029999999329447746
0.4469945430755615,-0.372001051902771,-0.5469294786453247,|[0, 0.6, 0, 1]|,0.029999999329447746
0.46570152044296265,-0.3798794448375702,-0.5337464809417725,|[0, 0.6, 0, 1]|,0.029999999329447746
0.4814673364162445,-0.3863763213157654,-0.5185977220535278,|[0, 0.6, 0, 1]|,0.029999999329447746
0.49544161558151245,-0.3905128240585327,-0.5085511207580566,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5101862549781799,-0.3903079926967621,-0.49965956807136536,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5270975828170776,-0.3864118456840515,-0.49046990275382996,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5449844002723694,-0.38035720586776733,-0.48077717423439026,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5611075162887573,-0.37340110540390015,-0.4720748960971832,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5741503834724426,-0.3672246038913727,-0.4623464047908783,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5849327445030212,-0.3585178554058075,-0.4573710262775421,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5933778285980225,-0.34857577085494995,-0.45444193482398987,|[0, 0.6, 0, 1]|,0.029999999329447746
0.6024286150932312,-0.33707696199417114,-0.4509017765522003,|[0, 0.6, 0, 1]|,0.029999999329447746
0.6131981611251831,-0.3235057294368744,-0.44576558470726013,|[0, 0.6, 0, 1]|,0.029999999329447746
0.6237720251083374,-0.3069930672645569,-0.4413131773471832,|[0, 0.6, 0, 1]|,0.029999999329447746
0.628687858581543,-0.2873944640159607,-0.4358828365802765,|[0, 0.6, 0, 1]|,0.029999999329447746
0.6305001974105835,-0.26467791199684143,-0.44147536158561707,|[0, 0.6, 0, 1]|,0.029999999329447746
0.6289740204811096,-0.24271909892559052,-0.4491406977176666,|[0, 0.6, 0, 1]|,0.029999999329447746
0.6256142854690552,-0.22412866353988647,-0.4564802348613739,|[0, 0.6, 0, 1]|,0.029999999329447746
0.6221838593482971,-0.20934252440929413,-0.4618407189846039,|[0, 0.6, 0, 1]|,0.029999999329447746
0.6174087524414062,-0.1952867954969406,-0.46787360310554504,|[0, 0.6, 0, 1]|,0.029999999329447746
0.6138060092926025,-0.17910167574882507,-0.4672536849975586,|[0, 0.6, 0, 1]|,0.029999999329447746
0.6020643711090088,-0.16631518304347992,-0.47878655791282654,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5862743258476257,-0.15710268914699554,-0.4926420748233795,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5718756914138794,-0.15081889927387238,-0.5040192604064941,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5610377788543701,-0.14413021504878998,-0.5120377540588379,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5508402585983276,-0.13508817553520203,-0.5197228789329529,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5447590947151184,-0.12001876533031464,-0.5187181830406189,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5273630023002625,-0.1101219654083252,-0.5311075448989868,|[0, 0.6, 0, 1]|,0.029999999329447746
0.5069049000740051,-0.10253427177667618,-0.5447804927825928,|[0, 0.6, 0, 1]|,0.029999999329447746
